children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
1,-8437.673028,42,masters degree,0,married,0,F,employee,0,253875.6395,purchase of the house
1,-4024.803754,36,secondary education,1,married,0,F,employee,0,112080.0141,car purchase
0,-5623.42261,33,Secondary Education,1,married,0,M,employee,0,145885.9523,purchase of the house
3,-4124.747207,32,secondary education,1,married,0,M,employee,0,267628.5503,supplementary education
0,340266.072,53,secondary education,1,civil partnership,1,F,retiree,0,158616.0779,to have a wedding
0,-926.1858309,27,masters degree,0,civil partnership,1,M,partner,0,255763.5654,purchase of the house
0,-2879.202052,43,masters degree,0,married,0,F,partner,0,240525.9719,housing transactions
0,-152.7795692,50,SECONDARY EDUCATION,1,married,0,M,employee,0,135823.9342,education
2,-6929.865299,35,MASTERS DEGREE,0,civil partnership,1,F,employee,0,95856.83242,having a wedding
0,-2188.756445,41,secondary education,1,married,0,M,employee,0,144425.9383,purchase of the house for my family
2,-4171.483647,36,masters degree,0,married,0,M,partner,0,113943.4915,buy real estate
0,-792.7018871,40,secondary education,1,married,0,F,employee,0,77069.23427,buy commercial real estate
0,,65,secondary education,1,civil partnership,1,M,retiree,0,,to have a wedding
0,-1846.641941,54,bachelor degree,2,married,0,F,employee,0,130458.2289,car purchase
0,-1844.956182,56,masters degree,0,civil partnership,1,F,partner,1,165127.9118,buy residential real estate
1,-972.364419,26,secondary education,1,married,0,F,employee,0,116820.9044,construction of own property
0,-1719.934226,35,secondary education,1,married,0,F,employee,0,289202.7042,property
0,-2369.99972,33,masters degree,0,civil partnership,1,M,employee,0,90410.58674,building a property
0,400281.1369,53,secondary education,1,widow / widower,2,F,retiree,0,56823.77724,buying a second-hand car
0,-10038.81855,48,SECONDARY EDUCATION,1,divorced,3,F,employee,0,242831.108,buying my own car
1,-1311.604166,36,secondary education,1,married,0,M,employee,0,209552.6446,property
1,-253.6851658,33,secondary education,1,civil partnership,1,F,employee,0,131812.2039,car purchase
1,-1766.644138,24,secondary education,1,civil partnership,1,F,employee,0,149681.1407,buying a second-hand car
0,-272.981385,21,masters degree,0,civil partnership,1,M,employee,0,128265.7209,to have a wedding
1,338551.9529,57,secondary education,1,unmarried,4,F,retiree,0,290547.236,transactions with the residential real estate
0,363548.4893,67,secondary education,1,married,0,M,retiree,0,55112.75773,buy real estate
0,,41,secondary education,1,married,0,M,civil servant,0,,education
0,-529.1916347,28,masters degree,0,married,0,M,employee,0,308848.9837,construction of own property
1,-717.2743239,26,masters degree,0,married,0,F,employee,0,187863.2373,construction of own property
0,,63,secondary education,1,unmarried,4,F,retiree,0,,building a real estate
1,335581.6685,62,secondary education,1,married,0,F,retiree,0,171456.068,transactions with the residential real estate
0,-1682.083438,47,primary education,3,married,0,F,employee,0,275485.6845,housing
0,-4649.910832,34,SECONDARY EDUCATION,1,civil partnership,1,F,employee,1,139057.4642,having a wedding
0,-1548.637544,48,secondary education,1,married,0,F,partner,0,157245.7862,purchase of the house
0,-4488.067031,35,secondary education,1,married,0,F,employee,0,104660.4492,transactions with my real estate
